
> ultra-svet@0.1.0 parse
> node scripts/parse.mjs

Importing products from https://ultra-svet.com
limit=1000, delay=500ms, concurrency=3, output=products.json
existing=1000, target=1000
scan 1020 products, queue 4000: /kabel-vvgng-ls-3kh1-5-1kv-gal-kat-gost?page=3
scan 1021 products, queue 4000: /kabel-vvgng-ls-3kh1-5-1kv-gal-kat-gost?page=2
scan 1023 products, queue 4000: /kabel-vvgng-ls-3kh2-5-1kv-gal-kat-gost?page=2
scan 1025 products, queue 4000: /kabel-vvgng-ls-3kh2-5-1kv-gal-kat-gost?page=3
scan 1029 products, queue 4000: /kabel-vvgng-ls-p-2h1-gal-kat-gost
scan 1032 products, queue 4000: /kabel-vvgng-ls-p-2h1-gal-kat-gost?page=2
scan 1034 products, queue 4000: /kabel-vvgng-ls-p-2kh1-5-gal-kat-gost
scan 1037 products, queue 4000: /kabel-vvgng-ls-p-2h1-gal-kat-gost?page=3
scan 1039 products, queue 4000: /kabel-vvgng-ls-p-2kh1-5-gal-kat-gost?page=2
scan 1040 products, queue 4000: /kabel-vvgng-ls-p-2kh1-5-gal-kat-gost?page=3
scan 1042 products, queue 4000: /kabel-vvgng-ls-p-2kh2-5-gal-kat-gost
scan 1044 products, queue 4000: /kabel-vvgng-ls-p-2kh2-5-gal-kat-gost?page=2
scan 1046 products, queue 4000: /kabel-vvgng-ls-p-2kh4-gal-kat-gost
scan 1047 products, queue 4000: /kabel-vvgng-ls-p-2kh2-5-gal-kat-gost?page=3
scan 1050 products, queue 4000: /kabel-vvgng-ls-p-2kh6-gal-kat-gost
scan 1052 products, queue 4000: /kabel-vvgng-ls-p-2kh4-gal-kat-gost?page=2
scan 1053 products, queue 4000: /kabel-vvgng-ls-p-2kh4-gal-kat-gost?page=3
scan 1054 products, queue 4000: /kabel-vvgng-ls-p-2kh6-gal-kat-gost?page=2
scan 1056 products, queue 4000: /kabel-vvgng-ls-p-3kh1-5-gal-kat-gost
scan 1058 products, queue 4000: /kabel-vvgng-ls-p-2kh6-gal-kat-gost?page=3
scan 1060 products, queue 4000: /kabel-vvgng-ls-p-3kh2-5-gal-kat-gost
